api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
1342.7659556086762,2882.6395977388856,2553.0263008300435,2632.53084980754,80902.2131528681,1121.24017291908,2259.314349096285,1155.36801823871,5821.915483895622,2902.4543747374983,21562.099520610842,204254.6798046974
1338.2771355778998,2913.263626376924,2572.4483179179806,2649.152125943918,81260.54543349441,1127.1897823202355,2272.472928966203,1158.885914605989,5852.495734063692,2931.0039201679656,21537.209555862668,205091.26205347557
1331.282476320072,2940.6713558586753,2594.754330983387,2667.5655373094637,81592.0317999084,1136.3563549415753,2281.5363521765184,1164.0469323908853,5886.9242886833745,2956.4995437499683,21534.94671790365,205808.52498881062
1323.3663987603024,2966.0390567660793,2612.6361969382606,2685.250215136863,81915.93279913286,1142.4729653730415,2288.8835697111344,1168.4169289838162,5915.940089460683,2979.8539990857007,21545.32879658436,206203.94889589297
1312.3736802322824,2977.95679874465,2624.876183433361,2698.8611361032504,82206.3417638361,1147.652667709362,2296.3038739181798,1171.806593655406,5946.213400698024,2992.4482021896997,21589.77704889632,206687.91748140953
1302.3721667869045,2987.654743861554,2633.0988231847887,2706.449342211735,82472.57523928396,1151.5047363858332,2302.33820498727,1174.2923026890196,5974.397333177015,3003.481058307857,21606.598547566544,207258.20611105318
1293.6806419978577,2999.9775166682766,2639.4801476134026,2717.1326397222383,82747.33437368172,1157.1826978660501,2310.609348153173,1178.8745290621116,6009.732523234069,3011.4263683649997,21653.10514474382,207876.96014337955
1284.9583265514286,3012.9029309200428,2652.1878780457882,2728.634174226632,83031.53229976792,1160.5260946780245,2315.920941821313,1180.7501811051786,6036.240205476718,3026.883988564973,21680.805385577994,208465.13062509272
1275.0016070997028,3022.8934928480903,2660.3765216058778,2739.3337293509308,83307.0373511,1167.4038487381245,2324.8843879446304,1186.0985703423096,6063.288588302783,3037.5608424049724,21730.972563107363,209141.10383558352
1265.5090170419298,3033.804447180787,2669.2529450611964,2751.3424223220654,83584.84166078648,1170.1834026316822,2329.984280480122,1187.030168190699,6091.76644289662,3049.2734844897846,21750.661144815567,209707.20624529687
1256.3564446808214,3044.131768746438,2675.398108571014,2760.317919983131,83859.79437916169,1177.8371177054883,2338.453365018589,1192.0702340160562,6121.387502393249,3059.841425849786,21803.818161847368,210247.5963196144
1252.684278525359,3059.7017509817006,2687.179107404011,2774.634810843321,84152.38128463329,1181.328065814732,2343.5275994915114,1193.7791161589134,6145.380098821821,3073.7534389894213,21840.769343133557,210842.0586218675
1255.526777292427,3066.125663017134,2695.3545133078537,2781.78486730627,84423.09512805837,1188.1513600656397,2352.1096343723793,1199.1894942309857,6162.766691220528,3086.3191029520863,21886.132855424912,211422.35628795886
1257.0342251190127,3074.0812739696603,2700.622512063919,2789.28669475383,84673.13341959957,1189.658687130193,2358.582730968701,1199.3957941125743,6186.580381881338,3095.663552520766,21896.586105973023,212293.75535157835
1269.0255196196038,3078.9739437142744,2696.3816990620094,2792.318829475945,84878.1631699063,1193.9347270380865,2366.740908725642,1205.70840559086,6202.339723488627,3095.8803626320396,21906.686918371106,213438.86879393802
