api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
3658.681091588223,7836.20724116382,7023.80302364817,7184.787774920014,219232.3346645018,3063.151797193195,6212.433251928122,3251.8782611698134,15858.718007679434,7914.663055873345,61793.47587137335,558809.5922272336
3630.1073938807062,7806.141923952429,6992.587697781401,7149.953920436997,218269.22940734113,3041.523818715569,6185.526714386014,3231.145154629186,15809.120218367612,7883.833294113812,61445.85835807445,556371.3494469111
3608.678480323668,7771.893775485413,6966.923634022253,7120.937265030615,217306.1500715212,3030.5178987717245,6156.151246001011,3221.7068840509323,15743.793977792737,7845.4052812796945,61211.56357589933,553943.4484357099
3580.8272289151882,7737.776058631884,6937.318002179893,7086.3357879685045,216350.777209849,3009.7297630354265,6127.521048480275,3203.5865047646344,15686.52249336966,7816.208039761266,60887.03229434606,551381.1901734982
3561.1008823386665,7705.296537887302,6907.128693123252,7057.161242080465,215386.55187366216,2996.8395843712556,6100.472319743123,3194.5061790054037,15621.257898227506,7779.489741625964,60648.849139198595,548943.4094691958
3533.5554032607997,7669.929169977975,6877.684027133988,7021.797601632031,214424.0207502425,2979.5002766776042,6072.079271912645,3179.4805894472593,15576.41635345344,7749.618709686103,60314.807496080626,546712.9839876099
3514.1261851377103,7637.871915390478,6850.012723515761,6991.835004963576,213464.55226046842,2969.0379206781377,6046.750445901793,3168.470793103984,15509.594351014708,7713.561311921136,60080.237260083064,544359.4767847925
3487.317781889935,7598.883302558248,6818.564168729838,6958.53436573875,212510.4455977896,2948.6265235226892,6017.957063894604,3147.1666743800024,15452.045414044498,7690.682366923756,59741.29360661302,541922.2041510694
3465.727680498175,7564.66354168033,6788.884186703534,6926.063037415987,211543.6438643797,2938.307533286899,5993.909730664902,3138.6776426649603,15389.2073489516,7655.424941654547,59494.65398326657,539495.4315298169
3439.7318498923855,7526.009696543423,6756.576526174799,6888.642453968318,210573.52907289992,2918.0361184704716,5963.792267392475,3118.651763138457,15339.558995304948,7630.079071451544,59150.92439238924,537215.1809488754
3419.153543409935,7491.699733218203,6729.117330246076,6856.087898625583,209609.45998405752,2906.294229373634,5940.4600703971655,3111.4487605981085,15268.317363936158,7592.523038852297,58912.701603812304,534770.0229409473
3392.5180805520445,7450.859939155283,6698.248849529259,6822.025866220196,208656.3825533955,2887.8709942655523,5911.883410742146,3094.7777027206444,15206.727206862604,7570.40520413833,58568.50032148917,532300.2814979968
3372.1524780255363,7418.630955511621,6669.024422175005,6784.625503719817,207686.6569026209,2875.932586209844,5885.814766356956,3083.4335990641016,15142.93313699328,7537.80345003317,58327.507951230924,529966.3393765585
3345.4694393864165,7377.6192567366,6638.75845068352,6752.553569462284,206712.76638185134,2855.5315846494163,5858.49628690729,3064.4164141249953,15087.96281411888,7508.222245161291,57973.23075880596,527575.5364630528
3324.1592622152752,7345.554753784717,6610.588669890309,6718.828054259575,205752.96198611526,2842.943218540233,5833.298314020218,3052.3473622788806,15022.685349151638,7475.2712877442455,57738.68671067305,525229.7928582783
