aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
6073.16693576947,3099.9242985246638,6154.256466354004,6057.8857124022825,6081.803683906745,5830.633440927618,223507.00748463612,2304.338966030103,5063.094552385876,2425.765116231399,13227.53392581571,5979.338417803114,70771.11717981599,580739.3544530052
6115.594054982913,3097.71791132589,6170.511619250133,6085.093966577499,6120.166039658245,5878.744758073568,224767.92009268943,2313.840172277573,5092.475861828439,2431.7436073576528,13298.036507282144,6037.663407578329,70949.71855456516,583787.696384475
6151.361742924119,3092.484379684051,6225.502490831225,6131.571730205572,6147.036135375204,5906.012740250753,225892.86653868775,2320.0406136736424,5115.883194914051,2434.7540383553874,13348.780458669087,6062.1490982013875,71015.27881257066,586482.9206797932
6180.569248632768,3087.631120708893,6249.768400380146,6158.006124923585,6173.857638626104,5930.050749151157,226754.24023372022,2326.9680908356418,5132.561658826621,2438.6074869584154,13397.161497104713,6089.583895895377,71058.61203742266,588725.7747523192
6210.030336591795,3082.599598618014,6277.806870201138,6187.351353469052,6203.8107385558515,5953.755776336104,227629.12199648103,2333.6252967054143,5150.06182837747,2442.3023572489774,13450.206150738917,6113.807170173506,71083.89518816452,590992.5805542113
6236.081284413724,3078.00202295471,6303.5962287753855,6212.493288572266,6228.585702655164,5980.751768134671,228498.93400105977,2341.0516973965628,5168.164923364013,2447.3764153154316,13511.382782073977,6141.7054674242,71132.71481523008,593129.2012218835
6262.771428698572,3073.5477115563103,6331.044526048752,6240.974855147679,6255.235334646295,6006.613172462746,229372.97189623993,2348.3390290633192,5185.728068438198,2451.3502162914347,13563.25376821958,6166.546103221104,71143.49551103734,595161.5653807078
6288.343731631387,3068.0577031522403,6356.883469889923,6266.610027997086,6281.104299908505,6035.5248538716,230240.84882105413,2354.996071575473,5203.52190301896,2455.5317022891086,13610.326127269125,6195.621740090866,71189.56145476397,597317.9784285494
6316.519904967289,3062.7029093705237,6388.028974254885,6295.838208132835,6312.446187201048,6057.925814297293,231116.4602990103,2361.5708071533004,5221.112557298856,2459.2905961726347,13659.84026932866,6220.027823038982,71212.17942397593,599525.7186498621
6340.207445475467,3058.149053386382,6411.164675013446,6320.728912882947,6337.712876900122,6085.749208713172,231984.81426709768,2368.072191398775,5241.720936977438,2464.1512211511313,13721.109039260933,6248.0872014077095,71255.02856939135,601701.9557895091
6366.5067326314775,3052.928239635754,6439.982498539847,6349.980061045868,6366.428794540107,6110.604203026024,232861.58167423573,2374.9738416003383,5258.758233975193,2468.0995246216576,13770.08299716679,6272.776531017729,71273.22398496604,603798.8587282368
6392.979503977236,3047.330472008922,6465.819337193883,6375.228099984064,6390.282698480962,6140.216172158904,233728.47747118972,2382.3407550975744,5278.370293577489,2472.893129185104,13821.197576783741,6299.91668387724,71323.07734668023,605967.769053724
