aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
4489.078974105,2395.9439168702224,4573.862044367377,4490.16760221346,4491.060692597576,4300.000871244152,163206.27587477365,1762.5877472752102,3734.1420653571236,1851.104196723393,9601.431169687175,4440.90669937047,53657.17742416904,427137.7036902056
4440.688551198666,2372.473697079498,4560.35476640907,4456.71681255233,4442.647442720652,4238.358282504283,161563.58778635794,1746.076112252828,3694.0178515639786,1836.1916035268105,9521.475800087797,4376.682100391346,53196.66190885922,422850.1987561158
4398.914217740434,2355.3715284622053,4490.886441694364,4401.046782261506,4417.202009140731,4205.719482760821,160091.2036421467,1732.5049668470422,3661.149613407651,1823.6594512021438,9464.058713124465,4345.277913121488,52734.89533315965,419359.911883017
4365.041434994458,2332.977014663046,4458.579719823829,4370.595943659852,4384.146949216868,4177.85780079278,158973.72000980482,1719.7131396774316,3635.444154809295,1809.9734321318435,9401.888088232256,4315.207615866852,52349.98911493775,416621.7873558475
4335.082360677456,2315.2248410831994,4430.201566899385,4342.593569280509,4357.802021303003,4146.0829409759035,157871.58738493006,1705.2237573870348,3611.642654655827,1796.945308210042,9341.043897172438,4282.69084478088,51961.848711104845,414046.8600298762
4302.651445492547,2293.794341786633,4397.256168991466,4311.85255784584,4325.770903766764,4115.469056503367,156756.84578783062,1692.4987356318322,3586.047584759881,1784.3014853856998,9283.314452247565,4253.683784373254,51581.30655657479,411348.3676831945
4273.205350093827,2277.012962857502,4368.430538507747,4285.12664917407,4299.462819691678,4084.7175802194965,155662.1790494159,1678.6072263556625,3561.7001219906333,1771.6585137522875,9222.83048619559,4222.174025463006,51193.65903117309,408703.7534407593
4241.309782081509,2255.226195851176,4336.178520800166,4254.268855019354,4266.645650610647,4058.378831554136,154555.2629940715,1665.7031762263734,3536.8558601070176,1757.9436842155314,9162.426911035038,4192.675801012016,50814.071546613144,405838.32713980775
4209.147732206626,2237.50082197982,4309.632777977643,4229.127542727079,4239.615054820692,4029.3659759550906,153461.5646367276,1651.9161772204009,3512.632786849011,1745.437402772635,9102.190866566107,4160.458114910402,50423.13434679166,403203.5407630804
4176.456849729891,2215.7209995602443,4277.521497576842,4199.108489026074,4208.926482872756,4002.6547350276674,152360.167277075,1638.6106610706408,3489.121583985988,1732.0590281850411,9046.480740420731,4133.067564899685,50051.48866041196,400501.33315902174
4144.559470532388,2198.5725709481444,4248.057567312553,4171.944312654148,4180.768733772876,3972.411402806346,151262.62085109286,1624.7588201595217,3465.3723811330924,1719.4172678713176,8984.04095239134,4100.494015606431,49661.11132235712,397810.67602272023
4113.55427225418,2177.431998456875,4217.209968196162,4142.887786068838,4149.507925263112,3947.3840022487425,150164.89095966818,1612.0654085488395,3441.1036664086564,1706.1926798301743,8926.344497703014,4071.733119438758,49298.439890191665,395058.6700407564
4083.295885543898,2160.3576174982686,4190.953903434217,4113.234957614854,4121.619306651347,3917.8472993906244,149072.70419229,1597.7447124767502,3417.773381109972,1693.6017437685232,8862.791087284097,4040.3708390255647,48914.181492672644,392429.3860959442
4052.720424031991,2138.4722755734997,4162.774644614148,4083.9722819747876,4092.5993571566796,3890.408297571181,147981.7031025486,1584.104701025057,3393.578107580656,1678.8658311366464,8805.441697166474,4012.743151206082,48548.08125062073,389721.9201940691
4024.0440660397408,2120.152046444873,4133.707506035396,4054.1475171119096,4062.823375712359,3862.107046018252,146888.17255606764,1569.0315111105697,3369.4830631695277,1665.8631455809286,8740.126714561326,3981.697978417975,48154.82253569608,386975.853641
3993.7832832936865,2098.7725174383513,4104.325743530616,4023.891745177808,4032.782760471016,3831.7792455971335,145742.30171895173,1555.7695070073446,3344.33267477457,1650.6983534567278,8682.415311962322,3953.323674607539,47772.71675801845,384171.6284663701
3964.79554311235,2080.9596597334503,4078.710465991299,3995.546138766724,4002.699412709647,3801.321719726261,144698.86845714788,1540.8405024896429,3320.4259340933945,1638.2304893361377,8619.039576972229,3921.266708927044,47394.76660534149,381581.85808645724
3934.4298423970613,2060.4688341161504,4050.7248278474913,3965.472685354317,3974.192146411903,3780.1878624584942,143672.77734009255,1526.5087105444518,3296.4845847615584,1623.0812153216577,8565.744808330785,3896.5855380515804,47049.03674721542,379026.1268019753
3905.1062848450006,2043.301653435564,4024.5984714333536,3936.1461285044024,3945.904375719539,3751.54804692368,142535.86118766645,1511.0422708836359,3272.186349166623,1610.3526865874685,8504.302098305936,3864.9810430446673,46656.94668724209,376208.71367703495
3876.6338426016464,2023.199539490298,3996.359688419858,3906.4775809655853,3912.7145959159297,3733.7469368795755,141448.6424629526,1497.535125958551,3246.8320637570387,1594.4228491295314,8448.43624978057,3841.0378747164723,46295.751794185904,373600.9067735407
3845.112159798047,2005.9596159920038,3968.9398247825143,3877.8194347871568,3885.188001058938,3705.4393269679736,140363.31702290906,1483.2429043452785,3223.262841219384,1582.7610416271937,8391.723849004036,3809.173255635137,45916.68176244902,371067.7114487342
3818.787208845185,1986.2500309071918,3937.8187456053392,3847.9861229203943,3852.2820210915525,3684.077122729344,139276.76358267377,1468.744167571534,3198.815741571208,1566.9377742367067,8338.74913475923,3786.458613050235,45555.24708773537,368415.4807983289
3789.392980618489,1968.7054026420699,3910.0530061890645,3819.6261638686606,3823.7230567427227,3654.9171107644775,138188.72424303417,1452.7445378654359,3174.224519141101,1554.802452099484,8279.555634113838,3755.4691213804463,45168.85893759823,365746.27513633156
3759.679075941092,1948.5976492446946,3875.4330233429846,3791.2002398703426,3788.714792912441,3635.943432013365,137095.46808042435,1438.7245450906166,3150.3975770886436,1538.4977215588524,8221.895838943647,3731.771986451736,44791.49980169794,363050.1251585331
3727.871960649664,1930.9469880955976,3847.401221596161,3764.1241339229764,3760.830943957741,3606.39273451866,136004.56986647638,1423.8290549694668,3125.55930435404,1526.8626431926964,8165.621813485509,3700.3481679639594,44400.16428506978,360449.4351069428
3698.5169841972056,1910.74273589155,3813.4946514907333,3735.130943776949,3729.417499979061,3567.9417143793635,134913.75386253904,1410.362174571693,3102.3762772130763,1511.9705400603577,8109.244062729544,3672.5346586915844,44031.89639574945,357752.9116546444
3665.690524618868,1893.0522697187369,3783.6551348657913,3707.2587592142163,3700.6998982015693,3531.808592047242,133816.16272729568,1394.0953616188544,3077.8274251393914,1499.6214081241287,8049.329870949768,3640.702234326806,43634.848391435415,355108.0186312344
3635.206750711412,1872.922190938358,3750.281609638134,3678.7025625102915,3667.172676753048,3510.8330679974397,132721.86265925076,1381.6722512719437,3052.94254768788,1485.126966348213,7990.721225611375,3611.5530312503092,43268.20687633439,352289.78520199313
3604.130859939839,1854.964360523198,3721.5492204428133,3652.4601207904134,3637.702076608131,3476.649053586542,131628.69541406695,1366.105255194404,3029.339546154813,1473.3952781559526,7935.755672534861,3579.9984764318333,42877.788008690215,349639.53276440024
3572.9637968523025,1835.197014660569,3690.933110785961,3622.451658338688,3608.0786501167922,3451.0604562828726,130539.80281816778,1353.5973897967401,3004.700690936986,1458.9953088866491,7881.532298012959,3553.4420619505386,42521.19329273035,346937.6916321594
3546.3412037676608,1817.084954161488,3660.742788700905,3594.1321794487417,3576.765989296529,3417.5217590225543,129446.94560107606,1336.8321532835414,2980.4972947870515,1446.6455044821123,7819.452017485866,3522.014942184307,42129.48114783298,344225.05991226365
3514.011444017553,1797.306879145344,3628.48152069112,3563.3546201867803,3545.656003857369,3393.6187958584983,128351.66230727668,1324.1489011693416,2955.652939075706,1431.972624675037,7757.836346387489,3493.7954567791858,41764.88341453559,341457.78992760036
3486.4324486140817,1779.095636933816,3598.2066615637896,3534.8148149138497,3517.691903698325,3358.5813677889387,127262.7801984587,1307.5159086007839,2932.0395292738067,1419.6042385829915,7696.012748155093,3462.6899916912907,41378.36106793905,338778.2762020628
3454.720747743036,1759.3338015028462,3565.767068576583,3504.4526848020996,3489.9514292753424,3332.106338087714,126172.73334007402,1294.0156064152238,2908.208391096096,1405.9187922152967,7635.279436936669,3435.583431835681,41020.6800976782,336031.3161596276
3425.6018455688495,1741.2680280186994,3536.3229886655804,3477.9655915702965,3461.569326434104,3300.129451087684,125089.20638523102,1277.5294289321182,2884.944408740985,1393.2030875430219,7572.589121491999,3403.1891762396767,40639.55467939773,333298.34197996126
3396.0739160533344,1721.8275439572806,3505.5531215521305,3447.8620932099325,3431.50993510262,3275.9324831864624,124004.51704407965,1264.5013941281284,2860.092337072845,1379.1104700266387,7509.288229128173,3378.197255378898,40287.478518814496,330483.70227039885
3365.455572122776,1703.932734629984,3478.151246141597,3418.2589772614488,3406.8130494479437,3243.9059024246935,122921.67065909728,1248.7734398708315,2837.3659720104547,1366.9149980405157,7445.790305341626,3346.5665205582636,39905.51500355629,327856.515064305
3333.6192869934393,1684.2990680302937,3448.507333616112,3386.757495620199,3376.077281460468,3216.9628336393184,121837.50808970533,1235.9846897538316,2812.575536639686,1352.4134420486812,7384.760238165276,3323.741422419207,39554.38717809457,325210.43424207676
3302.121768481174,1666.8849513398563,3421.4473457200484,3358.840813202039,3349.064005245038,3184.5828884942925,120754.18051871752,1220.3179863788025,2789.666939056636,1340.290693600762,7320.400721693654,3292.351911605148,39172.194736699596,322507.3869367806
3272.4817099225106,1646.8783036924367,3391.521129146429,3328.657612308549,3312.6469865348927,3161.756934472309,119661.38925449374,1207.1406303892934,2763.8318552520873,1325.1036605104182,7249.760796247935,3267.5644815294713,38811.48103214843,319788.41509044176
3240.1663147022196,1629.6135295374525,3363.8623881745234,3301.8976188018028,3287.6123997998848,3130.592666148896,118585.16307112048,1191.7838160899712,2740.169762872908,1313.244105596659,7187.006934964431,3236.271806976034,38435.85788112048,317085.98591559596
3210.455868542303,1609.6573177015919,3333.322240922799,3272.8597847360065,3252.6250224745586,3106.0049224168492,117495.56149800529,1178.6879279111843,2715.688264442767,1298.8988012487653,7123.17755482155,3209.6306749213513,38074.09992698961,314456.6717862623
3180.930095306314,1591.5929001432762,3303.619915748465,3242.177746450938,3223.479185525897,3075.3247719659857,116410.1627622071,1162.8678865351555,2692.423978432737,1286.532997547059,7056.840341313477,3177.8914912697855,37695.82751356264,311812.56761702854
3153.3001993189655,1571.5902109722244,3271.235369969247,3212.2785331453306,3190.720388335014,3051.597390592306,115321.96200897596,1149.6971077949318,2666.5265364791403,1271.3656219062673,6989.9962460551715,3149.365512702876,37331.39891699289,309056.97874017974
3124.388227132093,1554.012764551608,3243.421628863712,3183.2349754337297,3163.0552586363515,3020.2166503053977,114245.2707621804,1134.9677590335946,2643.5295820201673,1259.7537164665366,6927.690796449135,3118.9381171469977,36959.528171369464,306377.6796782144
3093.627893184212,1533.4540843635582,3211.5110309415572,3153.348744159111,3132.339941189167,2992.8908697141815,113160.09902656048,1121.5184570826125,2618.457121071099,1244.3853641993212,6866.068157840217,3092.03127689152,36599.882457056636,303720.82812247187
3067.7930176937125,1515.7640507678798,3178.9439384665575,3126.245649172571,3101.596944141812,2960.903778308484,112078.19578023595,1105.6098664373028,2596.0192686216083,1232.3855782455835,6802.603777485505,3061.4741293491566,36220.71721336996,301009.49404111947
3036.2012461924596,1495.510602983869,3144.800075775015,3095.627778965762,3070.6327586438806,2936.3125399546416,110981.25286630938,1092.298825306867,2569.398819475577,1217.003734544696,6736.027800417937,3031.3826311151074,35846.50299118017,298308.5251525329
3009.5847384015196,1478.0000526120352,3116.9955225687695,3069.2666203580734,3041.6605713783224,2903.810141717078,109909.04670131298,1077.8288335952964,2545.543505936469,1206.4902482657183,6674.844114964705,3002.653565010505,35475.28450695711,295750.0667754719
2976.6856520234724,1457.9881687306677,3084.5819926088693,3038.2496732861987,3011.921940243391,2876.676571454246,108821.01543243327,1064.5691669715993,2521.6149107528727,1191.5791425570887,6613.437062744644,2974.4180053724317,35104.26986949792,293021.09228822024
2949.7328285736544,1440.0821092655026,3054.4530355675365,3012.1759418717625,2983.666388220637,2845.1720341379278,107741.03828618096,1049.3235935463738,2498.1124153971778,1180.5784631749505,6548.3946139220925,2942.497328673458,34718.00645531249,290364.0188526886
2914.9204506726805,1419.6284529960988,3023.7450306210617,2981.516652978662,2954.1319118997767,2823.6682647116295,106656.07866053612,1036.7802584449312,2473.5960674051307,1165.4882578994252,6482.0511834475155,2912.670240708177,34345.84371933387,287621.73135948495
2886.86055105255,1401.3971977464407,2997.191919611835,2957.772685877111,2932.462998780855,2791.1573799579164,105588.36288084205,1021.683122879407,2449.2357715013804,1154.6739310294192,6419.454396626918,2880.97075807932,33972.722839854156,285054.62535196653
2853.7442034846026,1382.2196167475279,2967.8252025134343,2927.6872329014564,2902.4712154943372,2766.585454821073,104512.88857532687,1009.4983752019268,2425.2272927604536,1140.7339262061407,6357.658694994179,2855.573707128355,33612.030249397816,282468.6647744747
2823.626718250339,1364.299166807634,2940.8047807925577,2904.616433104587,2874.695606012041,2734.990463249699,103438.99065362965,993.9341893458409,2400.9619308369424,1129.635336508881,6294.576991841809,2824.2573429009108,33221.42445837033,279820.0376831317
2791.977787581467,1343.8329501780884,2911.6454030050745,2875.091802411413,2843.020915431764,2711.685420508472,102367.71684792444,982.452399714313,2377.104521185655,1115.7602244002455,6231.153107928976,2799.748930817827,32876.63351673543,277127.7752355962
2760.8016940056636,1325.8777617978703,2884.4758138673305,2852.7117072250576,2819.101051076588,2678.6465993417346,101295.480159473,968.3658852233351,2352.7476588273207,1105.3891620263187,6170.7849444837675,2768.2620495910887,32494.294435639342,274482.6552671626
2731.9138854083276,1305.624285345736,2853.7550380399566,2822.279084296756,2788.810439264814,2652.1709009776587,100226.64484128763,956.9392329866273,2330.696113156872,1092.3624527890886,6109.788713675916,2744.1615656040344,32150.799252802713,271875.45758087456
2703.0124485414785,1287.3638616866888,2824.0048951906983,2796.818278723359,2758.637188655995,2620.1999803182016,99144.82442609666,942.3779173344176,2306.257075208592,1081.5195010477348,6045.272027341448,2711.8996679953116,31755.4217751254,269274.820115705
2675.3723514262883,1266.3920947453958,2794.549356322492,2766.676859755249,2727.881800359464,2596.9753759951445,98075.83622951481,931.1356370176285,2281.742298194887,1067.8234336597784,5977.915152772642,2684.8824124982757,31411.463127878156,266645.1042398543
2648.2540761947766,1249.504954712379,2766.8471437462176,2742.4170970762148,2701.472702273316,2572.462943947993,97045.34356304696,918.0864843142992,2258.1319589757954,1057.6478425541727,5918.907411782099,2654.5032032698095,31045.0080587937,264201.30908254645
2618.77307999292,1230.371160645785,2736.997905862249,2710.8019991746323,2671.5768313510284,2559.778980441382,96000.75891818538,907.6581814876408,2235.38015253193,1045.0730010067678,5860.29840778304,2631.7841283491443,30713.22260032398,261719.73705933898
2591.010848760723,1213.189106665419,2707.28646976912,2684.579891342982,2642.401217560553,2522.288488790583,94885.09561982173,893.6705289427176,2212.8800033579964,1034.4203080909365,5794.853392632544,2601.8948062371005,30320.449060156017,258892.39118859425
2565.5544736932284,1193.7127306687237,2680.8202969537897,2654.131327124572,2611.7911696839315,2491.3212382282836,93823.05953889758,883.7086602939014,2187.11050671266,1021.9501566798978,5729.465880748099,2577.3536810139135,29981.5851943455,256310.821576761
2533.6394401332586,1176.9071743375703,2653.8417287387415,2626.485889021373,2583.3946041591144,2463.253207433873,92756.92980739572,870.8507780101633,2164.8571319451194,1011.7003581940277,5669.734191233171,2548.1065018066874,29598.59746700277,253683.08063638132
2506.532482891807,1157.8840380376837,2625.4250017269555,2596.9299799074456,2551.8102566797174,2441.3799956818702,91694.00622633909,861.2876026150822,2141.5172591838673,999.8385826370486,5609.915917975899,2522.8415805009486,29259.069109933575,251026.9126509663
2476.9888949519714,1140.9036120941676,2599.298103676272,2566.4441111505057,2519.8471075783536,2400.7300892340704,90627.15737390026,848.2911234998868,2118.1961864522364,989.623406127672,5542.891017927281,2492.9777383890855,28866.29690144378,248339.04299039295
2448.992875645486,1121.1805416914278,2570.051056807925,2534.6726135473937,2488.4311128895724,2378.087991185412,89555.03082240738,837.5952062515775,2091.7531818518905,976.2798981795884,5469.909830242744,2465.9011894203477,28508.855073663683,245576.14672667693
2419.6712464881066,1104.2092030804718,2545.4000903784367,2505.903763811434,2461.0822493154706,2346.5524259834337,88495.16859037513,825.7265453086334,2068.4420163177742,966.5674288115611,5406.20397830983,2434.693718976911,28131.93314623777,242965.45950783082
2388.9825370177323,1085.170833131984,2516.068585695637,2476.166166975256,2431.938109222667,2321.4405062391475,87425.90420805576,815.7366058096026,2044.2268123365102,953.8568313893793,5342.720170277199,2404.5767586134457,27775.419649376334,240260.1877696429
2359.0552679493385,1068.0624028055163,2491.3367541684593,2448.341647792928,2404.1070203549107,2290.712714350264,86363.56094867046,803.5906290006238,2020.5147320134827,944.460309758346,5276.552776487483,2372.7114448134766,27395.21293678424,237598.4211544126
2329.2440678463354,1048.5901436212519,2461.948875352329,2417.719238177514,2373.77943121868,2266.7990927310507,85294.68000118261,793.4822176430569,1996.289760313896,929.9363973241564,5208.481700655057,2343.22527463558,27036.67180294943,234856.93528993285
2298.4792346905037,1031.3866738004158,2437.8590520972084,2390.871707109983,2346.6092985856394,2236.6955609308975,84234.45972612445,782.2781454589206,1972.1232501591874,920.3943395464227,5144.491227454265,2310.9068887429034,26660.157911509592,232239.87029924736
2267.7713873247035,1012.3033758662391,2406.72614898495,2360.672460893869,2317.458094420054,2212.899401453927,83169.51399568252,772.7534088928877,1948.068401374157,906.559972285251,5081.9842579575725,2281.8896992071827,26299.558396766,229558.9760826259
2238.3743101389473,995.4227661510325,2384.6649809731466,2332.3860482725413,2286.3326959809747,2183.9821852592117,82113.81657843268,761.3272514753095,1923.824596432231,897.1570021334323,5017.005426285106,2250.5437850773137,25922.858019434178,226834.01654901393
2207.7103285659778,975.9752665292699,2353.3462799784893,2302.25976668466,2255.7391942250465,2164.0690673167246,81049.58244484817,751.9569742801488,1898.9990415710242,882.5717245435801,4950.125085451027,2221.1628867158815,25554.07440891361,224129.44963276747
2178.3246409015983,959.5147187903399,2328.5165193059174,2275.5137665988373,2230.925962340879,2133.911963923093,80001.49974317638,741.4241176317917,1874.6862409149476,873.6787141003175,4888.314177800534,2190.250157064231,25194.658847213424,221425.55904085157
2150.9534832453837,939.6269324875091,2300.378655152868,2246.812929534778,2202.2067402516504,2109.677859789998,78953.44465126142,732.5512690922219,1850.832404273175,859.9945414562553,4825.617986500529,2163.7496069053627,24841.19442334757,218779.2671823564
2122.067118255467,922.7122414410939,2273.662840463412,2220.416197425914,2173.6216772887396,2079.919865684687,77903.3407480221,721.1021195947612,1825.8484463654065,851.2135349822722,4760.201344715953,2133.6093988665857,24474.692523097274,216045.97287934468
2093.9715210319264,903.4957487259035,2244.88539102586,2191.655720923497,2141.9830862698964,2057.553566878465,76848.06049544363,712.7281251557959,1800.9271500135703,836.4392908251745,4695.181441959268,2106.9495699094787,24110.642623509717,213465.4756159496
2063.4791977775562,886.7805417711501,2217.5629033372197,2164.9649465397097,2115.110416956255,2026.8485299111535,75799.95658452468,701.1451587802599,1775.5392771713514,827.7191874499105,4632.111513490808,2077.1741189015756,23736.43063950538,210796.71244048033
2035.9782643325525,868.0832899256612,2187.870126296405,2135.715076783277,2081.108981710815,2005.2182894094585,74757.24915769871,693.2048518347603,1751.1620210020371,814.5695343107283,4570.909131856141,2054.1060070391122,23383.695874197427,208245.77370272132
2004.8093997428396,851.3613535083023,2155.2099688521985,2108.664276847387,2053.402812990767,1973.7373119960876,73685.26080336735,681.7324894252968,1723.7272521192363,806.2553664707738,4508.724796823014,2025.4904129179,23005.628883917416,205432.42679678043
