aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,kernel_processes_energy
4282.697144349773,2482.1782443847283,4153.674919696787,4143.367956168943,3708.8351699895547,3558.6288484766965,1437.1374793674204,3316.3821486450224,1634.1151521682127,8822.043223976214,3907.719590768778,49457.05125899025,390141.69577096874,136653.45155829747
4293.948775571492,2467.3954556372173,4168.784136212624,4158.374777774146,3719.851108752602,3574.2078876266205,1442.0427111040724,3323.5478314824895,1639.84644406414,8852.361595760829,3919.705111115384,49402.67795977523,391182.2826643035,137347.49915104444
4306.220818397193,2456.89986333991,4180.23607963276,4171.7155210154,3729.597074056742,3582.849125605897,1446.7887669466065,3330.6395815190326,1643.7395907108596,8875.954183088881,3930.138545771312,49226.787779600214,392477.1308864555,138061.66689728978
4315.219155501266,2448.6928051848568,4194.069357913303,4183.414531062587,3740.1390675419007,3593.9822909196932,1453.8721314648562,3338.5963205393577,1649.5013859805424,8898.666395727536,3944.8740917440873,49166.3591476018,393526.8741392505,138748.35674508614
4330.639923811236,2438.477879495324,4213.447782073336,4199.625833118907,3753.355916147677,3602.9350435434553,1459.779199919834,3346.160764560585,1654.786879031749,8928.911118077673,3959.7412489898184,49143.561914111444,394715.5785140044,139514.2028941485
4341.111542589518,2430.3331048687355,4227.975862390078,4211.284173157692,3765.5205882106334,3617.6421307952232,1467.0537370592442,3356.329425253955,1660.3145079928352,8960.752556563453,3974.195843241414,49178.58004076334,395708.66892396036,140206.36487800968
4354.85945290485,2420.2591513708467,4244.38240584832,4222.849874892295,3776.5733593130144,3626.4602350808736,1472.8942161586947,3364.077532404858,1665.4003540002582,8989.199945375263,3986.81789579819,49070.05048052801,396673.88807851454,140940.5408707583
4360.96716654415,2411.718108874079,4257.799017273658,4233.118076850251,3787.5487562670974,3640.587894332873,1480.0239040077572,3373.9075285893423,1671.0089350642536,9008.642533089189,4001.7979459720264,49044.20106714961,397833.1219627048,141623.52648014078
4370.407301257976,2401.2875860803733,4270.788860277187,4245.306972723833,3796.3393007763007,3649.2725406170684,1485.7061242783936,3381.409043841066,1676.5458664040805,9040.007683737183,4011.1687801401586,48933.22136269089,399334.18036103743,142333.2938152166
4378.133226314537,2393.4039163642847,4286.107574266629,4255.3777921836745,3807.148608418269,3662.3810908706005,1493.2777105091627,3391.5950704766906,1683.2481870501697,9070.466287390678,4028.190047393464,48938.14408389577,400627.5559640286,143025.2269104559
4388.971483786425,2382.815239672649,4301.031288233666,4269.6626911444555,3815.5771403945073,3671.454494265397,1498.9243012510308,3399.225099028806,1688.6338161525387,9098.54254318804,4039.800670136551,48828.437633365815,401727.05713676685,143757.28561795523
4397.205661765309,2374.181095014681,4317.072042079819,4280.296832656865,3829.3720438734035,3687.5114256581733,1507.5463653686777,3409.238463430848,1695.8324236915025,9118.682750044805,4058.2713770147006,48788.52584793787,402774.01248115057,144466.23229370455
4415.561531497013,2363.7548102700002,4336.83383789902,4299.088264618308,3844.378336946113,3697.5187582438994,1513.234465870045,3416.8939079063125,1701.002501378617,9148.35347752166,4072.7129940358377,48725.778178228546,403948.1482759628,145243.80257462
4424.908675388417,2355.8227082087074,4350.765552440362,4310.256855981944,3858.184518130769,3713.5344270184564,1521.456610167865,3425.629915542601,1708.078977382036,9176.608222037084,4089.2237687495517,48694.16972210863,405086.9102935962,145951.7594031803
4441.571352984863,2345.249819309049,4369.522520487598,4326.840259851343,3875.1775618696506,3721.6492924576996,1527.095937009091,3435.0747638515077,1713.1610177870423,9202.587820288689,4101.688845032826,48618.78427066633,405920.2971573989,146716.18082987782
4449.250327892308,2336.538904443357,4385.408935388874,4338.146294480096,3887.20923243842,3736.9862156678105,1535.666085924215,3448.4996087265135,1720.637699860592,9220.994928094116,4120.49145090386,48599.1805189967,406942.63123668416,147429.0838711693
4466.9698916923835,2325.9232285778658,4407.61642720034,4356.965083100451,3903.460741495485,3746.761968822717,1541.5423139732277,3457.1608869625015,1726.2300720591559,9252.791707646023,4136.045195155581,48538.60103780179,407990.67553919595,148209.9633525032
4477.635908660709,2317.724041246342,4422.384254123416,4369.58966435934,3915.5504512611988,3763.0235943340185,1549.6481641798644,3466.232384210347,1733.042519755166,9277.96917113148,4152.715812107541,48516.59907342437,409126.7069459721,148920.27251574918
4493.686420704524,2307.3455414497735,4441.737173767162,4388.95084869407,3931.750007735519,3771.887324229768,1555.5559593877827,3474.5345753973834,1738.1620598049772,9304.510291448352,4167.874775753393,48447.934655472534,410026.2870132341,149698.56635556807
4503.124513464705,2298.6779643243694,4454.524236630769,4401.737696507581,3944.149559437102,3788.7169073342175,1562.8762250025209,3486.048360113894,1744.2116722303163,9319.494606976126,4183.487259527504,48423.59162125987,411064.68262221635,150408.21704178644
4520.726318168293,2288.7736611409505,4473.412223144513,4421.668970449953,3958.3096777784085,3799.5899978095563,1569.5858171193277,3494.3548522824885,1750.3117161564314,9350.925923029577,4200.636630252262,48360.50670693335,412209.2616877559,151197.64147563488
4531.646592731965,2279.820406352564,4488.477993118656,4435.74189942636,3969.230237121848,3816.68369741665,1576.132148714846,3504.1571776685537,1756.122521379444,9372.448641637873,4216.040029529613,48335.92514669438,413302.17051567946,151902.43609083668
4546.7372373377975,2269.9380842394567,4504.263679848089,4452.559509993202,3983.9232732544797,3828.424121953942,1581.5863140980696,3511.15984837267,1759.572314352204,9400.685748259053,4231.998220894027,48260.89813872338,414127.95362908416,152664.85439872803
4558.122032812911,2260.8289169320665,4516.969466810759,4465.212136878947,3995.497721478642,3847.0623879604796,1588.0143567034238,3523.3942693803174,1765.307162138371,9413.413279069606,4246.6936495910095,48236.77497621278,415131.04481595446,153371.6647405138
4577.524285028677,2251.1019772043264,4535.53360387308,4483.547516630579,4012.5485800132456,3858.512956332452,1594.010019671889,3531.9082326228954,1769.5535692148756,9444.254585369614,4264.758287633513,48176.36270871452,416152.6754836015,154178.63679611663
4589.0767290332005,2243.2423720470692,4549.780643282848,4496.351212142846,4023.435819613631,3877.319481579099,1599.4229410386042,3542.418732627575,1776.0259089610295,9467.772631784188,4276.871642490364,48153.387867913756,417010.48955479177,154892.46974086136
4606.116786237342,2233.02361437427,4567.843635693071,4512.651250369797,4040.8006815094286,3887.398561870104,1604.727138783045,3549.974602991658,1779.5834722007985,9493.38895602344,4292.0617526423475,48078.363271684575,417833.8060744214,155681.8648612059
4618.683193077908,2223.8827010540826,4582.490318805842,4527.39035789806,4050.9751378033,3904.474922322997,1610.0992555749297,3559.369062069088,1785.2185103911097,9504.645412206868,4306.9474621460595,48058.638553537065,418771.42493769247,156396.10147358448
4638.4661771046,2214.9130444905227,4599.319386039223,4548.231732270629,4070.193672177248,3914.5086460018956,1615.8928266826042,3567.2093863168798,1790.2998487666162,9537.885323704182,4323.628471662492,47995.4014543968,419858.13869389874,157201.94312746657
4651.965157873831,2205.8713808201064,4613.834136171528,4563.161549673979,4081.0958727300645,3931.404902413108,1621.616709790593,3577.647127807413,1795.6830255167422,9565.197330864172,4339.591849477658,47979.10423436064,420894.0618862182,157917.96474216928
4669.479244672946,2197.2383343486467,4631.640735793734,4584.26079982298,4099.902758159895,3939.17027171714,1627.501497647011,3583.9639169120605,1799.735935641187,9593.941622187307,4354.826897952417,47910.958889489426,421611.5406842209,158696.14040488968
4682.882845173065,2187.502692233524,4647.206434882803,4600.577967455027,4108.386627509931,3953.729788171895,1632.836379210431,3594.758778170589,1804.9053654229338,9611.541803051086,4371.615885624071,47895.16670096644,422589.228802811,159399.54425598163
4701.452912636267,2179.6168000539437,4669.71327281154,4625.932400421956,4127.841278367155,3960.902427525268,1639.5911173125564,3600.8047803304676,1809.4999657192948,9642.715745451596,4389.757133313168,47843.28876814114,423598.7008832328,160202.21436998298
4714.158977907759,2169.9293785695227,4683.425833251102,4642.500078545378,4138.984356201041,3975.204889821325,1644.906290037788,3613.0098698364995,1815.0087872609956,9668.847109959128,4407.775864131282,47824.86883210641,424733.0012148824,160906.9619276141
4730.245350585736,2161.4583130368233,4702.878360521566,4666.142997207608,4155.978800688237,3983.6604194481642,1651.406735471062,3619.185075922024,1818.8795551248868,9697.350521911017,4423.365982094549,47756.85309912047,425570.8500500409,161682.68120977088
4743.137713223099,2151.496254301459,4716.154430290034,4682.850076338688,4167.458106369058,3999.128840368616,1656.4575816382671,3628.089174051151,1824.3454475878473,9715.924360276693,4441.02804732973,47744.77462391097,426508.7434352768,162392.72226008706
4760.543766421658,2143.1518344331275,4739.872850515319,4706.32606773415,4184.160537550596,4007.8523492848813,1663.042117326676,3634.5552479034923,1828.29592091279,9746.600600160038,4459.168688789737,47689.60439622534,427444.2800812089,163192.82729758648
4775.2317905886675,2134.5085667360167,4752.015157528,4722.791574893441,4195.972539944014,4022.9003891810153,1668.5591075118207,3645.246723531553,1834.2328637531264,9775.40417491386,4474.453861116502,47668.74687122433,428450.8165900779,163907.91825125396
4792.769270435412,2125.599102706682,4769.763379445676,4744.635270176935,4212.715940289859,4033.7479149077517,1675.0892305335035,3645.3524644081053,1837.77682853934,9802.109739747557,4489.476155559354,47597.928412229056,429219.5593562473,164688.4432287589
4806.482095932166,2116.434401705745,4784.102502736548,4760.7984259143195,4225.256036793567,4052.0494501797853,1680.0113961017375,3658.415965294051,1843.6917130373993,9822.263162501433,4506.068817407384,47586.976692301454,430282.72161028796,165396.17138748986
4830.288693380431,2108.6571584136314,4804.760961499405,4783.867511236773,4240.9109825067,4063.1276183250197,1687.3947289496414,3670.8084782583364,1847.9653920354529,9853.635706474488,4522.161798111764,47538.78618217387,431273.8093368929,166205.47028126853
4844.607046887218,2099.905215583435,4818.897301160039,4798.665920735076,4253.83520015147,4084.250950959903,1692.8481322954935,3683.428824866335,1853.5105882192681,9882.53185775304,4540.176537266413,47527.18886220561,432437.9863364405,166926.2728561442
4865.77650015962,2092.341143025913,4839.020342628923,4821.253686473942,4271.206487932748,4095.2221029849206,1698.4856548403436,3695.012003890586,1855.888844531813,9914.878213793923,4554.908789679891,47472.275528215854,433380.4025603768,167712.24299083053
4876.179754186769,2082.792665231825,4852.84002430313,4836.294091534776,4284.750405341266,4117.717242375839,1701.4192744620627,3707.4428066511914,1857.0905527727782,9938.424344562818,4572.098952290551,47467.615613237365,434438.1531934612,168441.3083858247
4899.543825484842,2074.4901127417797,4872.358358672397,4858.709129083107,4301.671579653692,4128.961650345882,1706.570223144117,3715.908315593767,1859.4259085498638,9968.546940732027,4587.352220961539,47409.02141187062,435493.834851285,169232.40965139717
4912.042928426019,2065.307608517211,4885.653572976068,4873.242949739574,4313.5391464549775,4150.223181399053,1709.7917149212249,3724.1518623753923,1860.4679527040719,9998.917965569683,4601.57078450057,47388.53721264101,436477.0350615951,169955.5059909154
4929.743965028924,2056.260957995123,4905.115222528948,4893.2367449174335,4330.196619468627,4159.28379166443,1714.754699094302,3728.9602073088718,1862.8269073349084,10023.852786754329,4614.3653087044895,47305.29113956488,437250.60885171854,170732.22056806128
4941.926826265727,2047.6752176464026,4917.101321169687,4908.164056041219,4341.739751572716,4175.787726658897,1718.9664935095382,3738.385074635063,1865.061204019675,10044.123975164266,4627.483199066247,47278.05582432771,438201.876158337,171435.8649267505
4962.712803588914,2039.393890629067,4941.385965148211,4932.474415981593,4359.638072455643,4184.105069666279,1724.3608236368293,3743.4712729650105,1868.3472577498794,10073.230526041498,4640.999754529525,47217.655388123414,439253.1525654553,172237.91145340912
4975.439875987104,2030.7849849545037,4955.253050519229,4948.195406950933,4372.739978020992,4200.357425766817,1728.014108567262,3756.006557236826,1869.4127462722527,10103.660899757213,4657.173962401468,47198.41244226894,440179.01233580604,172944.1061770877
4991.801069802997,2024.3144643319238,4975.738664809115,4970.556360737803,4391.8137071635665,4208.545647937585,1733.1325913324854,3766.070128863658,1871.7891674653567,10129.29904971838,4668.043519503027,47130.64397732834,440878.6432179144,173707.79744877637
5005.076569881011,2015.418544318724,4987.53398865839,4984.410598922694,4404.217596113091,4222.33052243085,1736.5496877261403,3778.71547639259,1872.8629024755655,10148.022212090293,4684.878023978791,47122.84421083865,441840.9390134719,174413.43208727805
5022.810046454902,2011.3444985972553,5008.109584587909,5006.6170232460645,4423.9307510161225,4230.234284507336,1742.9060151644794,3789.781972571438,1876.4647287069633,10182.173138810143,4697.411987884178,47075.16497141252,442882.7206026136,175190.20748845136
5033.876352789744,2001.5042648908473,5023.307641703658,5019.249312826928,4437.276604749095,4246.896976858347,1745.2220569059673,3799.9541850107835,1876.8906402589894,10208.003157468298,4715.683569121014,47067.140929471,443827.197737978,175902.09688597862
5047.330598243862,1995.970858236593,5040.566762098499,5037.8137982383705,4452.71011008959,4252.374964413766,1750.272698006203,3808.5581983001157,1879.8297557352162,10231.571030684732,4724.555510817997,46982.008345498914,444532.928693317,176655.66187682867
