aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
4203.006614285257,2881.4820385163453,4131.458796419872,4047.1045641185897,3646.991624635577,3552.248557875641,1456.8587820451914,3277.5381468717956,1435.1339212192308,9036.334059366154,3844.0662912884595,54119.638032400435,394481.3603922334
4219.117688003204,2860.8286426830127,4148.09494065064,4062.6933400769217,3661.65303969968,3565.7421540294868,1464.558447109295,3283.06708102564,1443.5240558346152,9068.713761930261,3856.1550371294857,53935.93544246498,395675.4292540166
4232.943577473589,2845.9431181210257,4163.155166225642,4074.5282708461527,3672.5943126317943,3581.9735398425637,1467.97366207359,3289.432196410256,1447.2375957941024,9092.234166317952,3868.268802514102,53785.05710380813,396692.70113331923
4250.016440294102,2825.2267488902567,4178.012838020513,4095.0045426282036,3688.5001382728205,3595.2399783041024,1476.0100684838455,3291.9212292307698,1455.1742714351276,9113.910884266668,3882.1812989070513,53608.68486493397,397423.36859688134
4266.689216645298,2810.6853804378206,4198.30127757372,4110.203997756409,3701.9015566784187,3607.8598001153837,1480.6610082935895,3296.9259673260076,1460.8560078846149,9152.156105668497,3896.2319495480756,53485.58867039779,398528.96731752815
4284.286075619658,2790.0581785147438,4214.958832060899,4127.130487298534,3719.5208675758545,3624.043453961538,1488.8751044474363,3307.07626224359,1469.0527386538458,9183.591462811355,3913.2015783717943,53306.686004129355,399472.997210039
4297.376442249634,2775.7718471142857,4233.482793828754,4139.048566968864,3729.4916735919414,3636.369295682967,1493.272303579305,3313.4600611217957,1474.246544185348,9212.632952785896,3926.6033494340663,53162.09960198862,400365.45214204997
4301.871073202015,2754.079030264469,4247.216071301283,4152.518336947113,3741.2571424564107,3649.075397331319,1501.1553191470696,3323.928953475784,1482.9762255040296,9229.211561760254,3942.062029165063,52951.305830612364,401469.48754651815
4315.1491503665075,2738.7727377057695,4261.95092893109,4166.264026850959,3748.79996412388,3659.288565008333,1505.8233379206729,3328.518348774929,1488.8818358360577,9264.823057161966,3951.4714249983967,52802.824428198546,402761.5970930138
4323.810859501123,2718.685529372435,4278.987510661857,4179.382568632478,3762.416016207211,3670.815779751922,1514.635898016827,3340.098633076923,1498.7048702911854,9300.284059298718,3972.4530003076925,52673.02736607712,404142.82503130473
4340.579140937606,2703.697557957264,4295.554667653846,4191.530585726496,3770.037762133903,3682.3091001611106,1520.4871163517093,3350.365713205128,1505.6522534179483,9328.186866695127,3985.069513128205,52489.58731046049,405085.1593056558
4351.821205040169,2682.0291391538462,4319.184449705128,4206.181375256409,3788.593104014246,3696.871277511538,1529.838939001282,3360.0725890909084,1516.0020354692303,9350.902688490001,4008.484045384617,52315.38373372038,405766.1873854359
4376.27497058782,2667.011123626154,4344.173564403845,4222.31819576923,3802.1728519589747,3710.986664010257,1534.5441152865385,3366.7957103030294,1521.0311227715383,9383.744097944405,4025.606353076924,52174.914484044544,406705.85429198976
4389.337864818589,2645.891895421025,4361.380955429487,4237.458396182984,3823.7182878564113,3725.3658691384626,1544.165900542949,3375.588622457264,1530.84263431,9414.1641404852,4046.2090661048946,52029.94720835925,407817.4936398912
4408.641861775289,2631.859102074242,4385.6189004341495,4251.802460868297,3837.3084408009327,3738.3906287920745,1549.2909447284383,3383.628624059828,1536.2270389458038,9438.156008264104,4060.866508995338,51871.117040658406,408695.1671009475
4421.634803500231,2608.9278707222606,4407.5701212966205,4270.429808108973,3855.3227951132853,3752.0602628247084,1558.4395869195805,3391.9393912820506,1545.3643961719115,9454.590021084614,4086.2865828750005,51740.132767388015,409380.30801253865
4441.303310780343,2593.95698341891,4430.105587443912,4287.892413878205,3870.081914472115,3766.3999161400643,1563.1441546865387,3399.718929743589,1551.5475847772439,9494.866697937177,4102.466227105769,51597.704254374876,410283.7670472301
4458.092913344445,2572.166049124038,4450.109297379809,4306.581406474358,3891.9411660746787,3782.1840171016033,1572.0898630198715,3410.0043330769245,1561.121615225962,9523.568627424358,4125.483021814102,51470.888126702484,411297.8543454181
4471.59675793718,2556.7734014679486,4470.390797416668,4322.991733397435,3905.883403410256,3796.010787520514,1576.7425128512816,3419.4352204395614,1566.5958015115386,9546.643242620603,4142.26616925,51308.77284768377,412211.9626756082
4483.380020757692,2533.3259335192306,4488.311842288463,4344.272113740843,3928.206608538461,3812.977082392308,1584.121128235897,3430.585107162393,1575.8753463833334,9563.006350221334,4161.941442791666,51171.94648009059,412847.93581772904
4500.752827878571,2517.7044839083333,4503.083480832419,4363.922604125459,3946.243974982599,3829.2167785742663,1589.4717268650181,3438.8682853675214,1582.349828599359,9596.767565652819,4180.812564128663,51027.59018473919,413799.08527133154
4517.438325131319,2493.883031985256,4525.346018378205,4385.736615025642,3968.112496044871,3844.9141581530203,1597.083661846703,3450.4761633173075,1592.0181779583327,9624.700932319485,4196.85725556282,50892.70700555,414627.29373024177
4529.160268692735,2479.370026501026,4542.786641428206,4402.528809897437,3981.935463658718,3864.501938023332,1601.887794649487,3459.5297222115382,1596.9208626235888,9645.77747392708,4215.263874793589,50732.50235528784,415467.001935027
4546.347531513248,2455.418454706154,4555.222854248718,4421.4462009775625,4002.139885453589,3879.9712418694867,1609.192695931538,3471.298779095021,1606.2085446748717,9664.265771202725,4229.909904915465,50576.66198083395,415952.2787465612
4558.684461416909,2442.2811622973554,4573.34454510657,4436.076987836537,4021.6259432972743,3894.6935762999187,1615.6459169480768,3480.158987239818,1612.727263105208,9698.461170397437,4251.412249867389,50428.31032960914,416845.15450500645
4574.522192586778,2419.6540553262016,4591.207323151441,4455.108853141027,4040.5930867267616,3912.923296251842,1622.8908816916664,3490.7035884900283,1622.2535623840538,9724.343647773001,4265.641238842006,50287.45687479869,417483.27336131834
4588.277013146151,2405.146740134616,4610.56967757353,4466.380106157618,4059.3660176852186,3924.5555491248124,1626.8675290923074,3498.7039111396007,1626.7843707474358,9743.949306370725,4282.4556102598035,50113.6418950033,418270.38409316324
4606.458084790195,2381.9184878721717,4624.608695324673,4488.504672970084,4075.1520757546,3939.9213202409505,1634.0485713245855,3509.4220033198385,1636.0141524216442,9756.139525387818,4298.209462794159,49966.34186385418,418724.53981599474
4617.198199663248,2369.469407036538,4645.232103597863,4505.955858867521,4095.7080417420225,3952.3540075555557,1640.4625268254279,3515.701747921728,1643.0397257643165,9792.326489549592,4314.674798264244,49805.21964290467,419611.3189826645
4638.091507355554,2347.426160241666,4661.59610099252,4529.586265307018,4111.014287468518,3968.4654178119654,1647.7945065262822,3527.3090823846155,1652.8996691403845,9824.17719636471,4333.186199192307,49670.75103224654,420472.4825084412
4651.2789291786785,2335.5356174234144,4681.066468871458,4549.613480894062,4128.913972998515,3976.7415010717264,1654.8980102894059,3533.4505641153846,1659.3902084008098,9852.399970330642,4349.548203915654,49503.82610022913,421095.8470047976
4669.58744874683,2312.659168368084,4697.762833581309,4578.486934471153,4141.942352890553,3994.1214609232793,1662.0766131908906,3544.6920251892566,1669.1977050269907,9874.838719689615,4370.422537228845,49377.42132838601,421580.29444148595
4682.326089162821,2301.3881856867306,4725.9431626022415,4601.808121971152,4159.393654295257,4003.7884741355138,1670.3096774382054,3550.4299125518937,1675.7988370376286,9906.738637218497,4385.54978658782,49221.48075153336,422498.99814880965
4699.189634034616,2276.7238276739095,4740.851252666344,4631.0213729578745,4173.25068185936,4019.160870930385,1677.0893941048716,3562.5813072027972,1685.4079065889107,9941.781039233152,4406.761730786323,49079.45713684188,423514.1733261451
4717.393346282296,2265.239607328937,4770.93763490293,4652.141864716116,4184.9368588570205,4033.5037758604394,1684.9130247956039,3570.056583717949,1690.7635411615383,9965.172699316727,4417.163071445664,48909.568124241785,424414.6999812459
4736.683229066179,2240.179109160439,4783.3507173205135,4681.411717654429,4200.434355194016,4049.6345689007326,1691.1162702168492,3582.2183108584177,1699.792041161538,9993.215212428613,4436.60370234528,48769.42550025632,424855.34163485497
4755.007153985432,2229.4208384261656,4810.515742589162,4704.380892770979,4215.852881167714,4063.4410730089166,1700.4641268918995,3589.509246477146,1706.5966046379365,10026.44366548562,4451.182359979312,48618.390361140686,425706.08641362045
4777.828240815267,2205.8140910485436,4823.653106808276,4733.636306767,4233.896773358857,4080.7431741161417,1708.1435543394518,3604.2667276602556,1715.2436725283803,10064.194962029653,4470.134657371795,48477.72918522612,426612.0496845173
4796.0079721198435,2195.1937064243034,4848.062533662765,4756.863767190635,4244.842584137291,4096.433828314937,1717.2710302352841,3611.5764584294866,1721.3484961364,10089.125047258012,4481.158294495542,48306.39188503629,427363.40140988916
4813.505399656076,2172.2684477843923,4863.381089404126,4785.541908197117,4263.265349744872,4116.509198994982,1724.5581403244705,3622.7729091897436,1729.8905354340577,10119.78372514263,4501.426244777778,48173.01727134898,428075.99353221856
4835.211996836861,2161.2942016100965,4886.101560435097,4808.776902588142,4278.1738731072655,4134.806025962501,1734.3094974028843,3630.6609432923074,1736.52183565673,10153.090282265026,4516.579090931624,48033.478209193236,429044.1178703078
