aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
1749.0031953963946,1300.5667064436448,1717.5206289589437,1663.5323695202546,1515.5815821886233,1446.9746900170342,652.2234346885115,1339.9357160820687,648.7347876553432,3627.777357641593,1578.928472795453,23885.52050346305,157213.7180299438
1725.0272713349466,1278.7086505664865,1693.0070539146384,1638.4229515314407,1495.2228974864738,1423.5883169988422,643.84178834656,1317.0031120467859,639.4313103869426,3576.7145557785575,1557.7646472640129,23526.219243589556,154989.29601442648
1700.4541610566605,1261.044519046349,1670.7754331750837,1610.8604774790836,1464.4270448122768,1406.6419269316075,635.6591927881789,1298.193292831277,633.79211920471,3522.8167605842327,1533.6042860323125,23185.279972142664,152542.93881111665
1676.5955707986284,1239.1240664030906,1645.5826917741724,1586.7172919751845,1444.048415822708,1383.4659806016039,627.5073118934182,1274.4556168631577,624.9497987586647,3466.164019869629,1511.798367407312,22832.688631121782,150072.53211699793
1651.0967586865065,1222.0826633534693,1621.3802877574776,1560.7705213356135,1417.2692302021567,1366.3645594344453,618.1999506505797,1254.6421465670212,617.935832112745,3429.1140401343423,1488.7242541298276,22497.663785223802,147796.88811848257
1627.6226509706705,1200.2157095353693,1597.1205194495026,1535.6551119330752,1397.3902610355256,1344.974147128883,610.0896536175326,1232.6850914260465,609.1292216766336,3378.317889388147,1468.4078707187914,22140.30490965733,145587.97819820206
1600.7580987919257,1183.5137694974815,1572.5017993273143,1508.1495314632457,1367.0936402548916,1321.8304435233947,601.7137586621155,1213.398166001602,602.9489490151478,3323.7450661079824,1445.1415471519385,21789.502780764673,143240.08519447458
1570.3505203065622,1161.0872187155323,1546.5692170885584,1485.5226656064674,1343.9662841401791,1298.8789391735943,593.5461907613432,1191.5209204071766,594.8101855747653,3265.1720217257157,1424.1731860751977,21425.948101870224,141032.58803924284
1544.306818711636,1143.8636428063305,1519.5654360936317,1459.2091038541123,1318.9533658151274,1276.1013610376642,584.298593004114,1171.0024083819935,587.3063219027808,3224.683997025695,1398.888177606515,21078.247610890594,138914.75634876103
1516.1758083857135,1122.315953017291,1495.6072696261979,1435.871432328493,1296.8071410638443,1252.8288166547381,576.559844713514,1151.5412344027702,579.0044783760734,3176.044234079674,1375.3903433970727,20747.473876952266,136868.18986766436
