api-gateway_energy,clientone_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,0.0,0.0,43673.79990439368,0.0,0.0,0.0,0.0,37.60558394992866,116.53823363554102
0.0,0.0,0.0,42055.04028822815,0.0,0.0,0.0,0.0,39.19441897581869,122.13588989368081
0.0,0.0,0.0,41002.98018827848,0.0,0.0,0.0,0.0,40.03193055662295,125.1760527205143
0.0,0.0,0.0,39987.96178861939,0.0,0.0,0.0,0.0,41.799384786011906,130.24260586453815
0.0,0.0,0.0,39619.83284114269,0.0,0.0,0.0,0.0,42.43645923210448,132.14100762603394
0.0,0.0,0.0,39142.59059975382,0.0,0.0,0.0,0.0,43.699410548572985,138.89897881883192
0.0,0.0,0.0,38942.7626411392,0.0,0.0,0.0,0.0,43.95449253383869,143.20703367119094
0.0,0.0,0.0,38087.813328898104,0.0,0.0,0.0,0.0,45.06152218903686,149.45811638890297
0.0,0.0,0.0,37541.07106801811,0.0,0.0,0.0,0.0,45.9502227826794,150.4913394797929
0.0,0.0,0.0,36898.218510731895,0.0,0.0,0.0,0.0,46.02392594038208,150.3192111467211
0.0,0.0,0.0,36847.97182981718,0.0,0.0,0.0,0.0,45.90013643188682,150.06630037772896
0.0,0.0,0.0,36755.23128735063,0.0,0.0,0.0,0.0,45.52868372907219,149.21368972132936
0.0,0.0,0.0,36682.051635802105,0.0,0.0,0.0,0.0,45.22333978503128,149.4609346565313
0.0,0.0,0.0,36794.40971821323,0.0,0.0,0.0,0.0,44.75743877210835,147.44106575235395
0.0,0.0,0.0,37492.703070864125,0.0,0.0,0.0,0.0,44.03911286868985,145.63784107203583
0.0,0.0,0.0,39101.47255379358,0.0,0.0,0.0,0.0,42.84254632141931,138.34897595280714
0.0,0.0,0.0,40211.8419641571,0.0,0.0,0.0,0.0,42.33929112052228,132.9272529768346
0.0,0.0,0.0,41721.61054155001,0.0,0.0,0.0,0.0,41.218747913064185,126.51635861434359
0.0,0.0,0.0,42343.18054984528,0.0,0.0,0.0,0.0,40.68661097614988,123.94462055868709
0.0,0.0,0.0,43077.530151672465,0.0,0.0,0.0,0.0,39.93715217420463,120.72264926686918
0.0,0.0,0.0,43530.488360963674,0.0,0.0,0.0,0.0,39.71820588107136,118.0618582507996
0.0,0.0,0.0,44377.666494801626,0.0,0.0,0.0,0.0,38.83044919111761,115.17318136597596
0.0,0.0,0.0,44954.08491601334,0.0,0.0,0.0,0.0,38.51654993685074,112.30676908344148
0.0,0.0,0.0,45695.515406989296,0.0,0.0,0.0,0.0,37.43015347900281,112.93408516053714
0.0,0.0,0.0,45403.49539224418,0.0,0.0,0.0,0.0,38.113233222239344,114.35038406362477
