,Cabin_F,Pclass_1,Cabin_G,Parch,Pclass_2,Cabin_T,Cabin_E,Cabin_D,Cabin_B,Cabin_C,Pclass_3,Cabin_Unknown,Cabin_A
0,False,False,False,0,False,False,False,False,False,False,True,True,False
1,False,True,False,0,False,False,False,False,False,True,False,False,False
2,False,False,False,0,False,False,False,False,False,False,True,True,False
3,False,True,False,0,False,False,False,False,False,True,False,False,False
4,False,False,False,0,False,False,False,False,False,False,True,True,False
5,False,False,False,0,False,False,False,False,False,False,True,True,False
6,False,True,False,0,False,False,True,False,False,False,False,False,False
7,False,False,False,1,False,False,False,False,False,False,True,True,False
8,False,False,False,2,False,False,False,False,False,False,True,True,False
9,False,False,False,0,True,False,False,False,False,False,False,True,False
10,False,False,True,1,False,False,False,False,False,False,True,False,False
11,False,True,False,0,False,False,False,False,False,True,False,False,False
12,False,False,False,0,False,False,False,False,False,False,True,True,False
13,False,False,False,5,False,False,False,False,False,False,True,True,False
14,False,False,False,0,False,False,False,False,False,False,True,True,False
15,False,False,False,0,True,False,False,False,False,False,False,True,False
16,False,False,False,1,False,False,False,False,False,False,True,True,False
17,False,False,False,0,True,False,False,False,False,False,False,True,False
18,False,False,False,0,False,False,False,False,False,False,True,True,False
19,False,False,False,0,False,False,False,False,False,False,True,True,False
20,False,False,False,0,True,False,False,False,False,False,False,True,False
21,False,False,False,0,True,False,False,True,False,False,False,False,False
22,False,False,False,0,False,False,False,False,False,False,True,True,False
23,False,True,False,0,False,False,False,False,False,False,False,False,True
24,False,False,False,1,False,False,False,False,False,False,True,True,False
25,False,False,False,5,False,False,False,False,False,False,True,True,False
26,False,False,False,0,False,False,False,False,False,False,True,True,False
27,False,True,False,2,False,False,False,False,False,True,False,False,False
28,False,False,False,0,False,False,False,False,False,False,True,True,False
29,False,False,False,0,False,False,False,False,False,False,True,True,False
30,False,True,False,0,False,False,False,False,False,False,False,True,False
31,False,True,False,0,False,False,False,False,True,False,False,False,False
32,False,False,False,0,False,False,False,False,False,False,True,True,False
33,False,False,False,0,True,False,False,False,False,False,False,True,False
34,False,True,False,0,False,False,False,False,False,False,False,True,False
35,False,True,False,0,False,False,False,False,False,False,False,True,False
36,False,False,False,0,False,False,False,False,False,False,True,True,False
37,False,False,False,0,False,False,False,False,False,False,True,True,False
38,False,False,False,0,False,False,False,False,False,False,True,True,False
39,False,False,False,0,False,False,False,False,False,False,True,True,False
40,False,False,False,0,False,False,False,False,False,False,True,True,False
41,False,False,False,0,True,False,False,False,False,False,False,True,False
42,False,False,False,0,False,False,False,False,False,False,True,True,False
43,False,False,False,2,True,False,False,False,False,False,False,True,False
44,False,False,False,0,False,False,False,False,False,False,True,True,False
45,False,False,False,0,False,False,False,False,False,False,True,True,False
46,False,False,False,0,False,False,False,False,False,False,True,True,False
47,False,False,False,0,False,False,False,False,False,False,True,True,False
48,False,False,False,0,False,False,False,False,False,False,True,True,False
49,False,False,False,0,False,False,False,False,False,False,True,True,False
50,False,False,False,1,False,False,False,False,False,False,True,True,False
51,False,False,False,0,False,False,False,False,False,False,True,True,False
52,False,True,False,0,False,False,False,True,False,False,False,False,False
53,False,False,False,0,True,False,False,False,False,False,False,True,False
54,False,True,False,1,False,False,False,False,True,False,False,False,False
55,False,True,False,0,False,False,False,False,False,True,False,False,False
56,False,False,False,0,True,False,False,False,False,False,False,True,False
57,False,False,False,0,False,False,False,False,False,False,True,True,False
58,False,False,False,2,True,False,False,False,False,False,False,True,False
59,False,False,False,2,False,False,False,False,False,False,True,True,False
60,False,False,False,0,False,False,False,False,False,False,True,True,False
62,False,True,False,0,False,False,False,False,False,True,False,False,False
63,False,False,False,2,False,False,False,False,False,False,True,True,False
64,False,True,False,0,False,False,False,False,False,False,False,True,False
65,False,False,False,1,False,False,False,False,False,False,True,True,False
66,True,False,False,0,True,False,False,False,False,False,False,False,False
67,False,False,False,0,False,False,False,False,False,False,True,True,False
68,False,False,False,2,False,False,False,False,False,False,True,True,False
69,False,False,False,0,False,False,False,False,False,False,True,True,False
70,False,False,False,0,True,False,False,False,False,False,False,True,False
71,False,False,False,2,False,False,False,False,False,False,True,True,False
72,False,False,False,0,True,False,False,False,False,False,False,True,False
73,False,False,False,0,False,False,False,False,False,False,True,True,False
74,False,False,False,0,False,False,False,False,False,False,True,True,False
75,True,False,False,0,False,False,False,False,False,False,True,False,False
76,False,False,False,0,False,False,False,False,False,False,True,True,False
77,False,False,False,0,False,False,False,False,False,False,True,True,False
78,False,False,False,2,True,False,False,False,False,False,False,True,False
79,False,False,False,0,False,False,False,False,False,False,True,True,False
80,False,False,False,0,False,False,False,False,False,False,True,True,False
81,False,False,False,0,False,False,False,False,False,False,True,True,False
82,False,False,False,0,False,False,False,False,False,False,True,True,False
83,False,True,False,0,False,False,False,False,False,False,False,True,False
84,False,False,False,0,True,False,False,False,False,False,False,True,False
85,False,False,False,0,False,False,False,False,False,False,True,True,False
86,False,False,False,3,False,False,False,False,False,False,True,True,False
87,False,False,False,0,False,False,False,False,False,False,True,True,False
88,False,True,False,2,False,False,False,False,False,True,False,False,False
89,False,False,False,0,False,False,False,False,False,False,True,True,False
90,False,False,False,0,False,False,False,False,False,False,True,True,False
91,False,False,False,0,False,False,False,False,False,False,True,True,False
92,False,True,False,0,False,False,True,False,False,False,False,False,False
93,False,False,False,2,False,False,False,False,False,False,True,True,False
94,False,False,False,0,False,False,False,False,False,False,True,True,False
95,False,False,False,0,False,False,False,False,False,False,True,True,False
96,False,True,False,0,False,False,False,False,False,False,False,False,True
97,False,True,False,1,False,False,False,True,False,False,False,False,False
98,False,False,False,1,True,False,False,False,False,False,False,True,False
99,False,False,False,0,True,False,False,False,False,False,False,True,False
100,False,False,False,0,False,False,False,False,False,False,True,True,False
101,False,False,False,0,False,False,False,False,False,False,True,True,False
102,False,True,False,1,False,False,False,True,False,False,False,False,False
103,False,False,False,0,False,False,False,False,False,False,True,True,False
104,False,False,False,0,False,False,False,False,False,False,True,True,False
105,False,False,False,0,False,False,False,False,False,False,True,True,False
106,False,False,False,0,False,False,False,False,False,False,True,True,False
107,False,False,False,0,False,False,False,False,False,False,True,True,False
108,False,False,False,0,False,False,False,False,False,False,True,True,False
109,False,False,False,0,False,False,False,False,False,False,True,True,False
110,False,True,False,0,False,False,False,False,False,True,False,False,False
111,False,False,False,0,False,False,False,False,False,False,True,True,False
112,False,False,False,0,False,False,False,False,False,False,True,True,False
113,False,False,False,0,False,False,False,False,False,False,True,True,False
114,False,False,False,0,False,False,False,False,False,False,True,True,False
115,False,False,False,0,False,False,False,False,False,False,True,True,False
116,False,False,False,0,False,False,False,False,False,False,True,True,False
