,Title_Miss,Title_Mrs,Title_Master,Sex_female,Sex_male,Title_Rare,Title_Mr
0,False,False,False,False,True,False,True
1,False,True,False,True,False,False,False
2,True,False,False,True,False,False,False
3,False,True,False,True,False,False,False
4,False,False,False,False,True,False,True
5,False,False,False,False,True,False,True
6,False,False,False,False,True,False,True
7,False,False,True,False,True,False,False
8,False,True,False,True,False,False,False
9,False,True,False,True,False,False,False
10,True,False,False,True,False,False,False
11,True,False,False,True,False,False,False
12,False,False,False,False,True,False,True
13,False,False,False,False,True,False,True
14,True,False,False,True,False,False,False
15,False,True,False,True,False,False,False
16,False,False,True,False,True,False,False
17,False,False,False,False,True,False,True
18,False,True,False,True,False,False,False
19,False,True,False,True,False,False,False
20,False,False,False,False,True,False,True
21,False,False,False,False,True,False,True
22,True,False,False,True,False,False,False
23,False,False,False,False,True,False,True
24,True,False,False,True,False,False,False
25,False,True,False,True,False,False,False
26,False,False,False,False,True,False,True
27,False,False,False,False,True,False,True
28,True,False,False,True,False,False,False
29,False,False,False,False,True,False,True
30,False,False,False,False,True,True,False
31,False,True,False,True,False,False,False
32,True,False,False,True,False,False,False
33,False,False,False,False,True,False,True
34,False,False,False,False,True,False,True
35,False,False,False,False,True,False,True
36,False,False,False,False,True,False,True
37,False,False,False,False,True,False,True
38,True,False,False,True,False,False,False
39,True,False,False,True,False,False,False
40,False,True,False,True,False,False,False
41,False,True,False,True,False,False,False
42,False,False,False,False,True,False,True
43,True,False,False,True,False,False,False
44,True,False,False,True,False,False,False
45,False,False,False,False,True,False,True
46,False,False,False,False,True,False,True
47,True,False,False,True,False,False,False
48,False,False,False,False,True,False,True
49,False,True,False,True,False,False,False
50,False,False,True,False,True,False,False
51,False,False,False,False,True,False,True
52,False,True,False,True,False,False,False
53,False,True,False,True,False,False,False
54,False,False,False,False,True,False,True
55,False,False,False,False,True,False,True
56,True,False,False,True,False,False,False
57,False,False,False,False,True,False,True
58,True,False,False,True,False,False,False
59,False,False,True,False,True,False,False
60,False,False,False,False,True,False,True
62,False,False,False,False,True,False,True
63,False,False,True,False,True,False,False
64,False,False,False,False,True,False,True
65,False,False,True,False,True,False,False
66,False,True,False,True,False,False,False
67,False,False,False,False,True,False,True
68,True,False,False,True,False,False,False
69,False,False,False,False,True,False,True
70,False,False,False,False,True,False,True
71,True,False,False,True,False,False,False
72,False,False,False,False,True,False,True
73,False,False,False,False,True,False,True
74,False,False,False,False,True,False,True
75,False,False,False,False,True,False,True
76,False,False,False,False,True,False,True
77,False,False,False,False,True,False,True
78,False,False,True,False,True,False,False
79,True,False,False,True,False,False,False
80,False,False,False,False,True,False,True
81,False,False,False,False,True,False,True
82,True,False,False,True,False,False,False
83,False,False,False,False,True,False,True
84,True,False,False,True,False,False,False
85,False,True,False,True,False,False,False
86,False,False,False,False,True,False,True
87,False,False,False,False,True,False,True
88,True,False,False,True,False,False,False
89,False,False,False,False,True,False,True
90,False,False,False,False,True,False,True
91,False,False,False,False,True,False,True
92,False,False,False,False,True,False,True
93,False,False,False,False,True,False,True
94,False,False,False,False,True,False,True
95,False,False,False,False,True,False,True
96,False,False,False,False,True,False,True
97,False,False,False,False,True,False,True
98,False,True,False,True,False,False,False
99,False,False,False,False,True,False,True
100,True,False,False,True,False,False,False
101,False,False,False,False,True,False,True
102,False,False,False,False,True,False,True
103,False,False,False,False,True,False,True
104,False,False,False,False,True,False,True
105,False,False,False,False,True,False,True
